Name,JoinName
P31 (LA GRANDE ANSE NE) S10,P31 (LA GRANDE ANSE NE)
P32 (SE OF BUOY S34) S11,P32 (SE OF BUOY S34)
P33 (SE OF BUOY S45) S12,P33 (SE OF BUOY S45)
P34 (CHICOUTIMI) S13,P34 (CHICOUTIMI)
P35 (GROS CACOUNA) Q35,P35 (GROS CACOUNA)
P36 (RIMOUSKI) Q36,P36 (RIMOUSKI)
P4 (N OF BUOY M77) Q04,P4 (N OF BUOY M77)
P5 (N OF LE ST. OURS) Q05,P5 (N OF LE ST. OURS)
P6 (NW LAC ST. PIERRE) Q06,P6 (NW LAC ST. PIERRE)
P7 (LAC ST. PIERRE) Q07,P7 (LAC ST. PIERRE)
P8 (LAC ST. PIERRE) Q08,P8 (LAC ST. PIERRE)
P9 (LAC ST. PIERRE) Q09,P9 (LAC ST. PIERRE)
PERCY REACH T21,PERCY REACH
PETERBOROUGH (LITTLE LAKE) T18,PETERBOROUGH (LITTLE LAKE)
PIGEON LAKE T10,PIGEON LAKE
PITTSBURG DOCK SM2,PITTSBURG DOCK
POND INLET YIO,POND INLET
PORT COLBORNE SN3,PORT COLBORNE
PORT WELLER SN4,PORT WELLER
PRIMROSE LAKE WIQ,PRIMROSE LAKE
QUAQTAQ HA1,QUAQTAQ
QUAQTAQ YHA,QUAQTAQ
Resolute,RESOLUTE
RESOLUTE YRB,RESOLUTE
RICE LAKE T20,RICE LAKE
SACHS HARBOUR YSY,SACHS HARBOUR
SAINTE AGATHE DES MONTS WOH,SAINTE AGATHE DES MONTS
SAULT STE MARIE AM1,SAULT STE MARIE
SAULT STE MARIE AM2,SAULT STE MARIE
SAULT STE MARIE AM3,SAULT STE MARIE
SAULT STE MARIE AM4,SAULT STE MARIE
SCHEFFERVILLE YKL,SCHEFFERVILLE
SHEPHERD BAY YUS,SHEPHERD BAY
SIX MILE LAKE T27,SIX MILE LAKE
SIX MILE POINT SM5,SIX MILE POINT
SOURIS YG6,SOURIS
SOUTH BAYMOUTH YZE,SOUTH BAYMOUTH
SPARROW LAKE T26,SPARROW LAKE
SPENCE BAY YNC,SPENCE BAY
ST. PETERS BAY YG5,ST. PETERS BAY
STONY LAKE T14,STONY LAKE
STURGEON LAKE T09,STURGEON LAKE
SUMMERSIDE YG1,SUMMERSIDE
SUMMERSIDE YSU,SUMMERSIDE
THUNDER BAY YQT,THUNDER BAY
TOBERMORY YVV,TOBERMORY
TUKTOYAKTUK YUB,TUKTOYAKTUK
UPPER LAKE NICOLET SM6,UPPER LAKE NICOLET
WHARF 10 SN5,WHARF 10
Yellowknife,YELLOWKNIFE
YELLOWKNIFE YZF,YELLOWKNIFE
